variant,f1@0.5,best_thr,f1@best,brier,log_loss,ece
sigmoid,0.7598,0.5595,0.765,0.173117,0.515036,0.071781
isotonic,0.7639,0.5147,0.7639,0.174346,0.548718,0.044826
uncalibrated,0.7598,0.5368,0.765,0.182126,0.544102,0.116322
